ID,Name,Longitude,Latitude,Elevation,Slope,Aspect,Year,Height,BA,Canopy,Diam,d13C,d15N,C_foliar,N_foliar,Ca_foliar,P_foliar,K_foliar,Mg_foliar,Al_foliar,Zn_foliar,Ca_soil,P_soil,K_soil,Mg_soil,Al_soil,Zn_soil,pH,CEC,C_soil,N_soil,Retention
CADCLIFFS_3,CADCLIFFS,-68.185274,44.327835,31.25,32,123,2019,1066.8,1.379,1158.2,50.8,-28.67,-2.36,47.9,0.81,1660,1530,5780,1010,559,69,954,7.7,362,399,153,10.1,4,28.5,25.62,1.05,41
CADCLIFFS_4,CADCLIFFS,-68.185045,44.32771,26.97368421,29,129,2019,515.4,1.728,304.8,17.8,-28.12,-4.8,33.78,0.62,1060,4290,660,640,171,32,579,4.5,214,224,123,7.8,3.7,29,20.1,0.64,47
CADCLIFFS_5,CADCLIFFS,-68.185261,44.327888,31.90789474,33,157,2019,426.7,2.248,365.8,20.3,-29.25,10.79,50.36,NA,1730,1390,5380,960,510,65.4,1710,14.3,459,763,160,14.4,4,37.4,45.11,1.25,28.5
CADCLIFFS_6,CADCLIFFS,-68.185338,44.327824,31.25,32,138,2019,365.8,1.26,243.8,15.2,-31.65,-6.46,47.87,1.46,650,2610,500,540,269,16.7,1360,11.6,108,94,161,2.8,4.2,29.1,16.54,0.34,40.3
CADCLIFFS_7,CADCLIFFS,-68.185424,44.327916,31.25,33,185,2019,548.6,1.147,548.6,45.7,-26.96,-2.36,50.55,1.41,1500,810,3230,890,494,29,254,2.5,150,110,46,2.2,3.8,12,2.08,0.26,38.7
CADCLIFFS_8,CADCLIFFS,-68.185467,44.327778,33.22368421,32,130,2019,426.7,0.349,304.8,25.4,-28.42,-4.8,50.29,1.04,1050,2760,560,590,303,35.2,293,1.6,101,79,202,2.2,4.1,17.6,10.03,0.43,45.3
CADCLIFFS_9,CADCLIFFS,-68.185617,44.327992,39.80263158,38,80,2019,487.7,1.485,243.8,16.5,-30.66,-3.72,23.59,0.52,4860,1800,6370,1550,685,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7
CADCLIFFS_10,CADCLIFFS,-68.185446,44.328192,39.80263158,40,244,2019,259.1,0.223,106.7,6.4,-29.89,-4,41.78,1.16,1430,1190,6030,1130,338,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9
CADCLIFFS_11,CADCLIFFS,-68.185515,44.327514,37.17105263,27,270,2020,721.1,1.099,792.4,44.577,-29.23,-1.96,48.5,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CADCLIFFS_12,CADCLIFFS,-68.185598,44.327558,36.84210526,29,140,2020,746.7,1.327,745.2,49.276,-29.71,-1.63,47.85,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CADCLIFFS_13,CADCLIFFS,-68.185728,44.327667,34.86842105,31,176,2020,646.1,0.624,509,33.782,-30.83,-2.48,48.34,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CADCLIFFS_14,CADCLIFFS,-68.185713,44.327707,31.25,32,121,2020,438.3,0.503,679.7,30.734,-30.22,-1.25,48.65,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CADCLIFFS_15,CADCLIFFS,-68.185714,44.327746,37.5,33,144,2020,685.8,0.66,368.8,34.544,-29.92,-1.89,48.45,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STSAUV_1,STSAUV,-68.329148,44.311904,148.0263158,19,314,2019,411.5,0.422,190.5,27.7,-26.55,-6.52,39.09,1.13,1450,630,4310,730,270,50.8,491,1.6,272,162,143,3.9,4.2,20.9,10.11,0.38,30
STSAUV_2,STSAUV,-68.327688,44.311331,175.6578947,3,254,2019,426.7,0.358,182.9,25.4,-28.29,-5.59,32.37,0.67,1910,1980,680,400,344,28.8,508,2.2,284,184,156,4.8,4.2,22.6,12.81,0.5,37.2
STSAUV_3,STSAUV,-68.326502,44.310736,204.6052632,20,275,2019,792.5,0.524,594.4,31,-27.49,-4.72,24.85,1.18,590,640,3340,430,217,18.2,762,3.6,401,194,173,4.1,3.9,25.1,24.85,1.18,34.8
STSAUV_4,STSAUV,-68.32698,44.310686,193.4210526,20,257,2019,2011.7,0.275,182.9,22.6,-26.72,-6.71,30.07,0.71,740,2990,380,620,194,19.4,518,3.8,363,224,192,4.6,3.7,27.2,12.45,0.61,34.9
STSAUV_5,STSAUV,-68.327474,44.310921,180.2631579,12,282,2019,579.1,0.422,396.2,27.9,-28.25,-3.83,47.09,1.24,1170,1710,5558,1010,515,38.2,218,3,142,147,177,2.1,4.6,12.8,23.1,NA,31.7
STSAUV_6,STSAUV,-68.327431,44.310721,181.25,13,251,2019,182.9,0.432,182.9,28.2,-27.57,-4.68,25.04,0.64,1220,1190,4710,1080,1140,72.4,184,3,196,169,142,2.4,4.5,12.4,24.5,NA,24.2
STSAUV_7,STSAUV,-68.326745,44.310307,194.4078947,12,277,2019,227.85,1.396,175.72,16.002,-27.79,-2.47,47.45,1.2,910,610,4540,940,353,47.9,338,3.2,163,138,128,2.2,4.7,11.7,21.5,NA,27.8
STSAUV_8,STSAUV,-68.326015,44.31023,199.0131579,11,122,2019,379.75,0.358,244.48,8.89,-27.49,0.07,31.9,1.11,650,800,5740,600,408,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5
STSAUV_9,STSAUV,-68.324663,44.310261,203.2894737,17,247,2019,303.8,0.545,183.36,10.16,-28.29,0.93,51.09,NA,1190,930,6350,710,293,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3
STSAUV_10,STSAUV,-68.323976,44.310061,215.4605263,25,237,2019,334.18,0.709,213.92,11.43,-26.72,0.54,31.29,0.83,2380,590,3330,730,348,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1
STSAUV_11,STSAUV,-68.322952,44.310187,222.6973684,1,317,2020,497.7,0.223,448,20.32,-29.7,-2.64,48.32,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STSAUV_12,STSAUV,-68.325237,44.311642,214.1447368,19,264,2020,559.3,0.535,507.4,31.242,-29.51,-2.65,49.87,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STSAUV_13,STSAUV,-68.325677,44.31216,208.8815789,3,302,2020,603.5,0.759,464.8,37.084,-29.68,-2.12,50.06,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STSAUV_14,STSAUV,-68.326271,44.310996,204.6052632,16,239,2020,499.8,0.299,405.3,23.241,-28.97,-3.29,48.36,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STSAUV_15,STSAUV,-68.3263,44.310799,200.6578947,9,301,2020,490.7,0.367,445,26.035,-29.34,-2.3,47.52,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WOND_1,WOND,-68.32232,44.26728,13.15789474,2,343,2019,472.4,0.252,548.6,21.6,-28.52,-5.98,47.75,1.07,1860,830,3720,910,320,51.5,1506,19.1,627,635,270,10.9,3.9,34.3,47.27,0.95,25.4
WOND_2,WOND,-68.315305,44.231704,23.35526316,5,245,2019,152.4,0.203,167.6,19.4,-28.89,-1.78,48.58,1.79,1420,2260,540,330,176,27.7,1007,12.4,394,416,38,8.6,3.5,33.1,32.15,0.91,14.8
WOND_3,WOND,-68.325744,44.268171,12.17105263,5,325,2019,365.8,0.147,365.8,20.3,-29.14,-6.81,50.39,NA,1710,930,3430,880,606,34,408,1.4,79,71,124,1.9,4.5,15.9,27.17,0.64,19.1
WOND_4,WOND,-68.314983,44.231612,23.35526316,1,313,2019,365.8,0.071,609.6,20.3,-27.65,-6.81,47.37,1.05,1220,2700,460,570,274,24.7,476,1.5,183,207,86,3.2,4,18.7,18.62,0.31,9.3
WOND_5,WOND,-68.314683,44.231535,19.07894737,4,94,2019,487.7,0.142,557.6,20.3,-28.19,-1.33,36.73,0.67,1480,810,3170,890,488,29.7,926,13.8,475,327,92,6.4,3.6,33.9,12.7,0.34,18.6
