"ID","Name","Longitude","Latitude","Elevation","Slope","Aspect","Height","Canopy","Diam","Ca_foliar","P_foliar","K_foliar","Mg_foliar","Al_foliar","Zn_foliar","d13C","d15N","C_foliar","N_foliar","Ca_soil","P_soil","K_soil","Mg_soil","Al_soil","Zn_soil","pH","CEC","C_soil","N_soil","Retention"
"PP-11-HIGHELEV-DIST","CAD",-68.228808,44.347758,1402,6,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.91,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-12-HIGHELEV-DIST","CAD",-68.229113,44.341616,1189,8,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.75,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-13-HIGHELEV-DIST","CAD",-68.228414,44.33947,1129,8,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.32,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-14-HIGHELEV-DIST","CAD",-68.227951,44.339545,1103,6,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.71,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-15-HIGHELEV-DIST","CAD",-68.228431,44.339127,1111,16,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PP-1-LOWELEV-DIST","CADCLIFFS",-68.184994,44.327785,83,29,120,335.3,335.3,22.9,1610,1440,5430,970,563,64.6,-28.29,0.07,50.11,1.37,168,0.2,42,15,335,1.3,4.5,23.3,22.08,0.26,43.6
"PP-2-LOWELEV-DIST","CADCLIFFS",-68.184909,44.327839,83,28,115,1005.8,548.6,55.9,970,4110,570,830,243,28.3,-28.29,-6.46,33.08,0.9,298,2.6,97,129,507,5.5,3.8,27.5,14.33,0.6,44.5
"PP-3-LOWELEV-DIST","CADCLIFFS",-68.185274,44.327835,95,32,123,1066.8,1158.2,50.8,1660,1530,5780,1010,559,69,-28.67,-2.36,47.9,0.81,954,7.7,362,399,153,10.1,4,28.5,25.62,1.05,41
"PP-4-LOWELEV-DIST","CADCLIFFS",-68.185045,44.32771,82,29,129,515.4,304.8,17.8,1060,4290,660,640,171,32,-28.12,-4.8,33.78,0.62,579,4.5,214,224,123,7.8,3.7,29,20.1,0.64,47
"PP-5-LOWELEV-DIST","CADCLIFFS",-68.185261,44.327888,97,33,157,426.7,365.8,20.3,1730,1390,5380,960,510,65.4,-29.25,10.79,50.36,NA,1710,14.3,459,763,160,14.4,4,37.4,45.11,1.25,28.5
